LOGGER03.txt,00000,00:00:02,00000,0000,023,42,22.66,95925,459.5
LOGGER03.txt,00001,00:00:03,00000,0000,043,43,22.70,95923,459.7
LOGGER03.txt,00002,00:00:03,00000,0000,064,42,22.75,95927,459.6
LOGGER03.txt,00003,00:00:04,00400,0000,082,42,22.79,95921,459.9
LOGGER03.txt,00004,00:00:05,00400,0000,087,41,22.83,95927,459.4
LOGGER03.txt,00005,00:00:06,00400,0000,091,41,22.87,95928,459.3
LOGGER03.txt,00006,00:00:07,00400,0000,091,41,22.92,95928,459.3
LOGGER03.txt,00007,00:00:08,00402,0000,094,41,22.96,95924,459.4
LOGGER03.txt,00008,00:00:09,00400,0000,089,41,23.01,95923,459.7
LOGGER03.txt,00009,00:00:10,00400,0000,088,40,23.06,95926,459.5
LOGGER03.txt,00010,00:00:11,00400,0000,087,40,23.11,95924,459.6
LOGGER03.txt,00011,00:00:12,00400,0000,085,40,23.14,95928,459.3
LOGGER03.txt,00012,00:00:13,00400,0000,085,40,23.18,95923,459.7
LOGGER03.txt,00013,00:00:14,00400,0000,081,40,23.22,95923,459.7
LOGGER03.txt,00014,00:00:15,00400,0000,082,40,23.24,95922,459.8
LOGGER03.txt,00015,00:00:16,00400,0000,078,39,23.27,95924,459.6
LOGGER03.txt,00016,00:00:17,00400,0000,076,39,23.30,95910,460.8
LOGGER03.txt,00017,00:00:18,00400,0000,075,39,23.32,95922,459.8
LOGGER03.txt,00018,00:00:19,00400,0000,071,39,23.36,95920,460.0
LOGGER03.txt,00019,00:00:20,00400,0000,071,39,23.39,95921,459.9
LOGGER03.txt,00020,00:00:21,00400,0000,070,39,23.41,95923,459.7
LOGGER03.txt,00021,00:00:22,00400,0000,069,39,23.43,95920,459.9
LOGGER03.txt,00022,00:00:23,00400,0000,068,39,23.45,95926,459.4
LOGGER03.txt,00023,00:00:24,00400,0000,067,39,23.49,95924,459.6
LOGGER03.txt,00024,00:00:25,00400,0000,063,39,23.50,95915,459.4
LOGGER03.txt,00025,00:00:26,00400,0000,065,39,23.53,95922,459.8
LOGGER03.txt,00026,00:00:27,00400,0000,064,38,23.55,95924,459.7
LOGGER03.txt,00027,00:00:28,00400,0000,063,38,23.58,95928,459.3
LOGGER03.txt,00028,00:00:29,00400,0000,064,38,23.61,95927,459.4
LOGGER03.txt,00029,00:00:30,00400,0000,059,38,23.61,95922,459.8
LOGGER03.txt,00030,00:00:31,00400,0000,059,38,23.62,95921,459.9
LOGGER03.txt,00031,00:00:32,00400,0000,061,38,23.63,95917,459.5
LOGGER03.txt,00032,00:00:33,00400,0000,059,38,23.65,95925,460.0
LOGGER03.txt,00033,00:00:34,00400,0000,058,38,23.69,95929,459.2
LOGGER03.txt,00034,00:00:35,00400,0000,058,38,23.70,95926,459.7
LOGGER03.txt,00035,00:00:36,00400,0000,060,38,23.72,95921,459.9
